               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10649,            0.033372,            0.024512,            0.004763,             0.38462,            0.013698,           0.0041237,             0.11301,            0.030156,            0.021411,              0.0811,              0.0021,              0.0021
                   1,             0.08569,            0.034656,            0.023197,           0.0056942,             0.65385,             0.02207,           0.0051632,            0.078238,            0.029304,            0.020058,            0.061286,           0.0042858,           0.0042858
                   2,            0.076577,             0.03758,            0.020862,            0.006933,             0.76923,             0.20297,             0.06109,            0.067728,            0.030476,            0.015008,            0.041457,           0.0064571,           0.0064571
                   3,            0.074088,            0.035543,            0.020365,            0.038857,             0.80769,             0.14404,            0.041122,            0.076063,            0.024666,             0.01067,            0.021614,           0.0086139,           0.0086139
                   4,             0.08004,            0.034727,            0.017044,            0.038857,             0.80769,             0.14404,            0.041122,            0.076063,            0.024666,             0.01067,            0.009868,            0.009868,            0.009868
                   5,            0.077543,            0.031981,            0.012769,             0.16666,             0.11538,             0.15696,            0.042329,            0.088591,            0.021603,           0.0092356,            0.009868,            0.009868,            0.009868
                   6,            0.083248,            0.032317,            0.015227,             0.08855,             0.15385,             0.16902,            0.043268,            0.071755,            0.020844,           0.0074018,            0.009835,            0.009835,            0.009835
                   7,            0.077677,            0.030171,            0.013976,             0.40859,             0.37707,             0.43653,             0.13162,            0.075676,             0.01874,           0.0075586,            0.009802,            0.009802,            0.009802
                   8,            0.085353,            0.027412,            0.013623,             0.40859,             0.37707,             0.43653,             0.13162,            0.075676,             0.01874,           0.0075586,            0.009769,            0.009769,            0.009769
                   9,             0.08133,            0.026051,            0.013447,             0.45213,             0.64751,             0.50923,             0.18588,            0.069358,            0.018663,            0.006323,            0.009736,            0.009736,            0.009736
                  10,            0.083162,            0.026012,             0.01311,             0.37781,             0.69231,             0.45469,             0.16112,            0.075659,            0.015763,            0.005479,            0.009703,            0.009703,            0.009703
                  11,            0.077179,            0.022864,            0.011745,             0.37781,             0.69231,             0.45469,             0.16112,            0.075659,            0.015763,            0.005479,             0.00967,             0.00967,             0.00967
                  12,            0.077485,            0.023847,           0.0093232,             0.94187,             0.46154,             0.71056,             0.20642,            0.064282,            0.016282,           0.0049268,            0.009637,            0.009637,            0.009637
                  13,            0.078945,            0.025105,            0.008954,             0.34253,             0.83962,             0.37526,              0.1193,            0.070744,            0.015563,           0.0035461,            0.009604,            0.009604,            0.009604
                  14,            0.070652,            0.021638,            0.008776,             0.34253,             0.83962,             0.37526,              0.1193,            0.070744,            0.015563,           0.0035461,            0.009571,            0.009571,            0.009571
                  15,            0.071311,            0.019081,           0.0074775,             0.25332,             0.78612,             0.40167,             0.12476,            0.070369,            0.013726,           0.0030247,            0.009538,            0.009538,            0.009538
                  16,            0.073605,            0.020973,           0.0079589,             0.26627,             0.80003,             0.51333,             0.20995,            0.063092,            0.013953,           0.0027181,            0.009505,            0.009505,            0.009505
                  17,            0.067998,            0.021667,           0.0065416,             0.26627,             0.80003,             0.51333,             0.20995,            0.063092,            0.013953,           0.0027181,            0.009472,            0.009472,            0.009472
                  18,            0.071178,            0.020567,           0.0057482,             0.86768,             0.26923,             0.41987,             0.18376,            0.066478,            0.012922,           0.0025058,            0.009439,            0.009439,            0.009439
                  19,             0.07117,            0.022618,            0.007167,             0.48677,              0.8645,             0.67848,             0.24586,            0.055006,            0.013723,           0.0023545,            0.009406,            0.009406,            0.009406
                  20,            0.064493,            0.020311,            0.005743,             0.48677,              0.8645,             0.67848,             0.24586,            0.055006,            0.013723,           0.0023545,            0.009373,            0.009373,            0.009373
                  21,            0.067881,            0.018623,           0.0062317,             0.35513,              0.8606,              0.5518,              0.1585,            0.059627,            0.012711,           0.0022169,             0.00934,             0.00934,             0.00934
                  22,             0.07152,            0.019311,           0.0053749,             0.44932,             0.84067,             0.73441,             0.21765,            0.061279,            0.011719,            0.001976,            0.009307,            0.009307,            0.009307
                  23,            0.070325,            0.018671,           0.0048947,             0.33443,             0.79656,             0.46074,             0.17185,            0.064243,            0.010925,            0.002392,            0.009274,            0.009274,            0.009274
                  24,            0.068354,              0.0212,           0.0053638,             0.33443,             0.79656,             0.46074,             0.17185,            0.064243,            0.010925,            0.002392,            0.009241,            0.009241,            0.009241
                  25,            0.067034,            0.019411,           0.0047479,             0.31368,             0.79879,              0.4829,              0.1877,            0.060526,            0.011669,           0.0027531,            0.009208,            0.009208,            0.009208
                  26,            0.069996,            0.021224,           0.0059078,              0.5553,             0.80294,              0.7467,             0.34692,            0.058203,            0.012197,           0.0028069,            0.009175,            0.009175,            0.009175
                  27,            0.066316,            0.018745,           0.0055735,              0.5553,             0.80294,              0.7467,             0.34692,            0.058203,            0.012197,           0.0028069,            0.009142,            0.009142,            0.009142
                  28,            0.062851,            0.018291,           0.0039588,             0.44191,             0.46154,             0.55076,             0.29897,            0.058543,            0.012215,           0.0029187,            0.009109,            0.009109,            0.009109
                  29,            0.069509,            0.019185,           0.0043666,             0.18153,             0.84615,             0.26577,             0.09491,            0.064513,           0.0098235,           0.0021542,            0.009076,            0.009076,            0.009076
                  30,             0.07058,            0.017561,           0.0040153,             0.18153,             0.84615,             0.26577,             0.09491,            0.064513,           0.0098235,           0.0021542,            0.009043,            0.009043,            0.009043
                  31,            0.071722,            0.017669,           0.0037377,             0.36419,             0.46154,             0.49373,             0.15825,            0.060388,           0.0099163,           0.0022273,             0.00901,             0.00901,             0.00901
                  32,            0.068641,            0.017352,           0.0038383,             0.56287,             0.84615,             0.88345,             0.33725,            0.052177,            0.011091,           0.0020838,            0.008977,            0.008977,            0.008977
                  33,            0.058392,             0.01762,           0.0037406,             0.56287,             0.84615,             0.88345,             0.33725,            0.052177,            0.011091,           0.0020838,            0.008944,            0.008944,            0.008944
                  34,            0.055478,            0.015432,           0.0031144,             0.43504,             0.73077,             0.75171,              0.3717,            0.048313,            0.010872,           0.0019658,            0.008911,            0.008911,            0.008911
                  35,            0.061071,            0.019347,           0.0035592,             0.28821,             0.88515,             0.68644,             0.35048,             0.04833,            0.011204,           0.0016498,            0.008878,            0.008878,            0.008878
